Time,Steel Center,Steel Surface,Copper Surface,Copper Center,P 5,P 6,P 7,P 8,P 9,P 10
81.097,32.356892,31.486326,30.242786,30.210222,,,,,,
81.448,32.322849,31.476133,30.229628,30.215605,,,,,,
81.802,32.297546,31.456654,30.220274,30.204218,,,,,,
82.17,32.268356,31.442978,30.229406,30.205208,,,,,,
82.52,32.250168,31.423857,30.209558,30.184002,,,,,,
82.883,32.20639,31.397148,30.205173,30.178259,,,,,,
83.245,32.195591,31.383398,30.205185,30.178949,,,,,,
83.606,32.168488,31.352642,30.203529,30.163496,,,,,,
83.959,32.144226,31.337364,30.194775,30.165598,,,,,,
84.318,32.124104,31.321495,30.188366,30.167332,,,,,,
84.666,32.099289,31.312883,30.181318,30.152594,,,,,,
85.017,32.066151,31.296392,30.169991,30.14986,,,,,,
85.375,32.034573,31.269955,30.167465,30.134895,,,,,,
85.738,32.013874,31.251028,30.162745,30.140579,,,,,,
86.102,31.991961,31.224567,30.161106,30.136904,,,,,,
86.465,31.975731,31.214178,30.159742,30.11405,,,,,,
86.828,31.947865,31.194845,30.147379,30.111187,,,,,,
87.192,31.916698,31.174013,30.138489,30.100035,,,,,,
87.543,31.896738,31.167339,30.139492,30.101942,,,,,,
87.901,31.881876,31.148617,30.125481,30.099918,,,,,,
88.251,31.860706,31.131027,30.118032,30.096542,,,,,,
88.631,31.828005,31.104822,30.116428,30.085892,,,,,,
88.995,31.822647,31.103748,30.111732,30.087076,,,,,,
89.357,31.792253,31.091368,30.102495,30.082361,,,,,,
89.719,31.770472,31.071814,30.100769,30.077923,,,,,,
90.069,31.762642,31.069616,30.101057,30.076853,,,,,,
90.429,31.738764,31.045702,30.097229,30.066463,,,,,,
90.778,31.71843,31.020823,30.082933,30.052393,,,,,,
91.142,31.688282,31.010504,30.089333,30.061733,,,,,,
91.507,31.691919,31.01008,30.091623,30.065834,,,,,,
91.871,31.655308,30.984707,30.072084,30.056248,,,,,,
92.221,31.644653,30.973812,30.077005,30.053478,,,,,,
92.574,31.622475,30.961313,30.063578,30.052719,,,,,,
92.931,31.603348,30.948709,30.063845,30.041674,,,,,,
93.29,31.587055,30.940525,30.066504,30.036867,,,,,,
93.638,31.577742,30.928263,30.063948,30.044718,,,,,,
93.997,31.549435,30.913692,30.066093,30.028538,,,,,,
94.346,31.531933,30.897749,30.054419,30.025913,,,,,,
94.711,31.526031,30.883032,30.059813,30.036736,,,,,,
95.076,31.500372,30.87631,30.054888,30.02593,,,,,,
95.441,31.482241,30.86651,30.044846,30.016792,,,,,,
95.805,31.470274,30.840527,30.040762,30.007278,,,,,,
96.155,31.451038,30.839787,30.035725,30.008574,,,,,,
96.514,31.425589,30.826052,30.02943,30.003637,,,,,,
96.863,31.421669,30.809025,30.027534,29.993372,,,,,,
97.228,31.405081,30.799644,30.03013,30.001171,,,,,,
97.592,31.396271,30.795115,30.029213,30.000933,,,,,,
97.957,31.369936,30.774395,30.01932,29.984024,,,,,,
98.307,31.361094,30.771189,30.016787,29.987148,,,,,,
98.662,31.335297,30.750782,30.004948,29.984583,,,,,,
99.019,31.323038,30.748224,30.000349,29.976139,,,,,,
99.381,31.309835,30.74246,30.003174,29.983036,,,,,,
99.731,31.307322,30.734295,30.02079,29.986399,,,,,,
100.09,31.282436,30.715706,30.003078,29.972759,,,,,,
100.439,31.274965,30.715231,29.994909,29.973413,,,,,,
100.804,31.265871,30.705448,30.001854,29.969046,,,,,,
101.169,31.242096,30.687067,29.993177,29.968287,,,,,,
101.532,31.228346,30.683243,29.999756,29.960838,,,,,,
101.896,31.213451,30.669912,29.989573,29.962194,,,,,,
102.241,31.20116,30.663708,29.985395,29.953266,,,,,,
102.599,31.191246,30.6635,29.987223,29.958714,,,,,,
102.964,31.18442,30.643108,29.975855,29.954132,,,,,,
103.327,31.170595,30.640566,29.984848,29.949324,,,,,,
103.692,31.147358,30.619112,29.971512,29.949337,,,,,,
104.056,31.14937,30.62768,29.988914,29.954069,,,,,,
104.405,31.129519,30.621138,29.970146,29.943897,,,,,,
104.755,31.123348,30.610895,29.96826,29.938393,,,,,,
105.112,31.108963,30.597172,29.959949,29.934153,,,,,,
105.474,31.092121,30.572403,29.954834,29.922928,,,,,,
105.823,31.082537,30.57501,29.956314,29.938438,,,,,,
106.182,31.076897,30.569592,29.955187,29.932333,,,,,,
106.531,31.074213,30.573006,29.976934,29.945934,,,,,,
106.896,31.028076,30.532021,29.956038,29.920284,,,,,,
107.261,31.042135,30.555359,29.955193,29.918533,,,,,,
107.624,31.031363,30.537796,29.951637,29.92584,,,,,,
107.988,31.021135,30.529366,29.951117,29.926905,,,,,,
108.332,31.010517,30.519188,29.951336,29.913321,,,,,,
108.691,30.990873,30.522804,29.941832,29.918978,,,,,,
109.055,30.9853,30.520617,29.94824,29.913845,,,,,,
109.42,30.974718,30.509346,29.94895,29.918627,,,,,,
109.786,30.97011,30.500664,29.941164,29.906994,,,,,,
110.148,30.955542,30.494671,29.9415,29.917059,,,,,,
110.496,30.936945,30.471989,29.929651,29.892313,,,,,,
110.846,30.91712,30.456213,29.924723,29.88942,,,,,,
111.203,30.921452,30.463715,29.931326,29.907112,,,,,,
111.562,30.921207,30.468668,29.927008,29.899851,,,,,,
111.917,30.904093,30.460354,29.935429,29.901484,,,,,,
112.279,30.88755,30.451256,29.930393,29.895092,,,,,,
112.627,30.879627,30.442194,29.922228,29.896656,,,,,,
112.991,30.883289,30.446989,29.937212,29.905079,,,,,,
113.355,30.877184,30.432741,29.92951,29.899414,,,,,,
113.716,30.867844,30.430626,29.934408,29.898201,,,,,,
114.079,30.841644,30.420002,29.911779,29.887339,,,,,,
114.424,30.839354,30.408442,29.911522,29.884817,,,,,,
114.784,30.843077,30.426861,29.92815,29.896921,,,,,,
115.148,30.824917,30.390598,29.919006,29.888681,,,,,,
115.512,30.807064,30.391949,29.907684,29.886185,,,,,,
115.878,30.805239,30.395546,29.91468,29.880733,,,,,,
116.239,30.809925,30.393003,29.93137,29.895615,,,,,,
116.587,30.797514,30.386911,29.91803,29.882954,,,,,,
116.938,30.786169,30.381208,29.912321,29.886976,,,,,,
117.293,30.787287,30.380291,29.906652,29.889906,,,,,,
117.654,30.767021,30.35074,29.902645,29.875713,,,,,,
118.012,30.764904,30.363995,29.907764,29.876308,,,,,,
118.374,30.759304,30.356131,29.908491,29.879072,,,,,,
118.722,30.752234,30.339558,29.900276,29.870178,,,,,,
119.087,30.740778,30.340527,29.896044,29.871601,,,,,,
119.446,30.732307,30.340641,29.905436,29.872847,,,,,,
119.806,30.72282,30.340868,29.883032,29.868547,,,,,,
120.171,30.718277,30.337452,29.903601,29.876896,,,,,,
120.517,30.708231,30.32559,29.889917,29.863892,,,,,,
120.875,30.71146,30.320681,29.902884,29.875273,,,,,,
121.239,30.702173,30.321562,29.898106,29.863255,,,,,,
121.603,30.69408,30.309166,29.8857,29.863976,,,,,,
121.968,30.681074,30.299314,29.88942,29.860451,,,,,,
122.328,30.680664,30.29393,29.889914,29.869093,,,,,,
122.674,30.677977,30.299833,29.890842,29.859838,,,,,,
123.025,30.668097,30.301023,29.88932,29.871441,,,,,,
123.384,30.663815,30.282495,29.897478,29.859005,,,,,,
123.748,30.659544,30.29224,29.897049,29.869665,,,,,,
124.112,30.652075,30.281599,29.882553,29.85811,,,,,,
