Time,Steel Center,Steel Surface,Copper Surface,Copper Center,P 5,P 6,P 7,P 8,P 9,P 10
49.622,52.327827,54.010265,57.613701,57.58456,,,,,,
49.984,52.409481,54.071167,57.643124,57.602844,,,,,,
50.339,52.500122,54.150742,57.680176,57.640972,,,,,,
50.688,52.595634,54.218136,57.712425,57.67001,,,,,,
51.052,52.700653,54.307739,57.762672,57.711693,,,,,,
51.403,52.778286,54.379959,57.800373,57.760319,,,,,,
51.76,52.864689,54.437866,57.818928,57.778877,,,,,,
52.107,52.964928,54.516258,57.861702,57.814587,,,,,,
52.471,53.038063,54.567844,57.873993,57.832233,,,,,,
52.835,53.136482,54.650681,57.914776,57.870876,,,,,,
53.197,53.215843,54.710426,57.93861,57.893215,,,,,,
53.559,53.297779,54.775757,57.963722,57.924541,,,,,,
53.919,53.363869,54.843174,57.984707,57.939743,,,,,,
54.277,53.450893,54.897003,57.991764,57.967571,,,,,,
54.625,53.536285,54.956753,58.017982,57.989079,,,,,,
54.975,53.612106,55.015793,58.047997,58.006039,,,,,,
55.332,53.680832,55.08326,58.067986,58.026886,,,,,,
55.692,53.752232,55.134018,58.076721,58.045467,,,,,,
56.054,53.833862,55.193913,58.108246,58.07571,,,,,,
56.416,53.908829,55.258789,58.134884,58.09935,,,,,,
56.779,53.97052,55.308056,58.150494,58.103619,,,,,,
57.142,54.0508,55.358658,58.169369,58.129772,,,,,,
57.494,54.121784,55.421719,58.188011,58.152912,,,,,,
57.851,54.185513,55.469589,58.191116,58.165222,,,,,,
58.2,54.247124,55.523094,58.219311,58.182499,,,,,,
58.55,54.315643,55.5751,58.230183,58.212421,,,,,,
58.908,54.389236,55.640133,58.255516,58.219139,,,,,,
59.273,54.449787,55.67968,58.261917,58.231747,,,,,,
59.637,54.524403,55.725315,58.274593,58.243565,,,,,,
59.991,54.57214,55.771221,58.285831,58.253521,,,,,,
60.351,54.641594,55.823963,58.300026,58.263649,,,,,,
60.701,54.693279,55.860058,58.319904,58.289307,,,,,,
61.051,54.763939,55.917454,58.335529,58.303219,,,,,,
61.418,54.820988,55.965351,58.364811,58.322231,,,,,,
61.781,54.87236,56.016399,58.367493,58.334328,,,,,,
62.13,54.931938,56.049202,58.381111,58.345383,,,,,,
62.496,54.987446,56.090412,58.389194,58.350258,,,,,,
62.859,55.042461,56.132423,58.402786,58.360001,,,,,,
63.221,55.09803,56.174774,58.416294,58.381847,,,,,,
63.571,55.147633,56.214821,58.416168,58.386646,,,,,,
63.93,55.209694,56.256783,58.434425,58.411964,,,,,,
64.279,55.260212,56.303982,58.456619,58.417473,,,,,,
64.639,55.31081,56.336655,58.461781,58.421562,,,,,,
65.003,55.363937,56.376362,58.471813,58.440582,,,,,,
65.367,55.402599,56.42075,58.489502,58.463837,,,,,,
65.731,55.467434,56.464203,58.512043,58.464985,,,,,,
66.078,55.519604,56.499531,58.521355,58.479645,,,,,,
66.437,55.566116,56.530071,58.532959,58.496384,,,,,,
66.812,55.628845,56.577873,58.556416,58.512997,,,,,,
