Time,Room Temperature,Forced Fanned,Natural Insulated,Natural Uninsulated,P 5,P 6,P 7,P 8,P 9,P 10
121.028,22.917521,32.69347,34.519138,35.685818,,,,,,
121.373,22.922861,32.691078,34.524426,35.684681,,,,,,
121.717,22.920946,32.691326,34.518604,35.689564,,,,,,
122.062,22.928379,32.691189,34.533283,35.695312,,,,,,
122.406,22.935907,32.694901,34.52021,35.68903,,,,,,
122.751,22.94034,32.680882,34.520134,35.682358,,,,,,
123.095,22.941895,32.684391,34.51239,35.686928,,,,,,
123.44,22.934359,32.679241,34.517426,35.67947,,,,,,
123.785,22.947878,32.672447,34.514214,35.676262,,,,,,
124.129,22.958534,32.67944,34.513695,35.685555,,,,,,
124.474,22.958807,32.667732,34.511646,35.672451,,,,,,
124.819,22.96575,32.671223,34.515663,35.664696,,,,,,
125.163,22.967037,32.662666,34.509262,35.674885,,,,,,
125.508,22.979002,32.671494,34.513973,35.661575,,,,,,
125.854,22.971884,32.653172,34.509956,35.661846,,,,,,
126.198,22.968039,32.654541,34.500973,35.653763,,,,,,
126.543,22.983696,32.657017,34.508801,35.663902,,,,,,
126.887,22.975969,32.657936,34.507401,35.653584,,,,,,
127.232,22.984722,32.646774,34.500538,35.657425,,,,,,
127.577,22.979544,32.652363,34.501835,35.65284,,,,,,
127.921,22.998653,32.64003,34.500946,35.656052,,,,,,
128.266,22.991156,32.640461,34.498161,35.643997,,,,,,
128.637,22.989311,32.63559,34.496513,35.641636,,,,,,
128.982,22.986116,32.627594,34.491028,35.638653,,,,,,
129.327,23.005043,32.630993,34.495491,35.638298,,,,,,
129.672,23.011303,32.625938,34.488834,35.640743,,,,,,
130.017,23.00362,32.618496,34.489441,35.62833,,,,,,
130.361,23.00469,32.618305,34.486931,35.63028,,,,,,
130.706,23.00308,32.616352,34.484798,35.622265,,,,,,
131.051,23.004511,32.606152,34.480682,35.628498,,,,,,
131.395,23.007383,32.606316,34.483528,35.619034,,,,,,
131.74,23.009521,32.61541,34.480469,35.624714,,,,,,
132.085,23.019733,32.605515,34.488083,35.628399,,,,,,
132.439,23.010777,32.607895,34.475643,35.623104,,,,,,
132.784,23.006811,32.597527,34.478855,35.623817,,,,,,
133.129,23.009167,32.595394,34.472443,35.616695,,,,,,
133.474,23.014469,32.589211,34.47216,35.620159,,,,,,
133.819,23.018599,32.58955,34.470177,35.612827,,,,,,
134.183,23.01296,32.593613,34.470306,35.617237,,,,,,
134.528,23.024261,32.589981,34.472214,35.611118,,,,,,
134.873,23.025497,32.595856,34.47094,35.609489,,,,,,
135.218,23.014347,32.574963,34.459007,35.609158,,,,,,
135.563,23.039371,32.586376,34.470936,35.610554,,,,,,
135.908,23.034916,32.577488,34.467594,35.610603,,,,,,
136.252,23.010551,32.567265,34.457211,35.600052,,,,,,
136.597,23.0208,32.566883,34.471466,35.614117,,,,,,
136.942,23.011721,32.560738,34.458191,35.59586,,,,,,
137.3,23.008638,32.54731,34.454601,35.599586,,,,,,
137.665,23.00515,32.532944,34.448292,35.594887,,,,,,
138.03,23.010485,32.553432,34.460178,35.603374,,,,,,
138.394,23.01289,32.540981,34.451317,35.598442,,,,,,
138.758,23.008976,32.527264,34.450294,35.585831,,,,,,
139.12,23.01296,32.537117,34.454243,35.594055,,,,,,
139.476,23.014452,32.537521,34.456612,35.601772,,,,,,
139.835,23.016678,32.527573,34.449711,35.591312,,,,,,
140.196,23.017561,32.523621,34.447552,35.599499,,,,,,
140.546,23.017998,32.525482,34.436558,35.58477,,,,,,
140.905,23.040194,32.514244,34.445686,35.58622,,,,,,
141.269,23.028303,32.506386,34.438553,35.581234,,,,,,
141.633,23.040119,32.499153,34.440617,35.584541,,,,,,
141.988,23.042233,32.504108,34.437531,35.586456,,,,,,
142.349,23.047493,32.500206,34.439171,35.593266,,,,,,
142.714,23.04011,32.493599,34.440426,35.580788,,,,,,
143.061,23.050508,32.504093,34.448227,35.589649,,,,,,
143.42,23.054058,32.481869,34.438709,35.584423,,,,,,
143.784,23.058037,32.477947,34.426762,35.576946,,,,,,
144.148,23.062563,32.482613,34.429996,35.584278,,,,,,
144.513,23.0634,32.468246,34.428326,35.575832,,,,,,
144.876,23.06963,32.47818,34.426998,35.573433,,,,,,
145.237,23.074303,32.455818,34.42984,35.570213,,,,,,
145.587,23.08103,32.462849,34.428291,35.575619,,,,,,
145.957,23.078817,32.445633,34.416458,35.567543,,,,,,
146.318,23.089458,32.443317,34.415039,35.567905,,,,,,
146.678,23.092546,32.450851,34.424526,35.57114,,,,,,
147.05,23.094431,32.446461,34.418713,35.571045,,,,,,
147.416,23.101679,32.448467,34.420895,35.568943,,,,,,
147.781,23.100468,32.439575,34.419338,35.563461,,,,,,
148.13,23.097385,32.442417,34.407536,35.56184,,,,,,
148.491,23.106218,32.434013,34.414856,35.558273,,,,,,
148.866,23.114235,32.418903,34.408875,35.549263,,,,,,
149.236,23.11252,32.424534,34.397892,35.551132,,,,,,
149.609,23.117506,32.413567,34.400688,35.54911,,,,,,
149.972,23.122093,32.423656,34.399876,35.549904,,,,,,
150.342,23.120646,32.412567,34.394337,35.54348,,,,,,
